Datum,UV-irradiation
2022-01-01,8.7
2022-01-02,9.5
2022-01-03,11.0
2022-01-04,17.6
2022-01-05,10.3
2022-01-06,21.1
2022-01-07,9.3
2022-01-08,10.4
2022-01-09,11.3
2022-01-10,13.3
2022-01-11,18.3
2022-01-12,13.9
2022-01-13,16.1
2022-01-14,28.6
2022-01-15,19.1
2022-01-16,13.9
2022-01-17,32.6
2022-01-18,25.3
2022-01-19,14.8
2022-01-20,28.0
2022-01-21,20.1
2022-01-22,20.8
2022-01-23,28.3
2022-01-24,18.0
2022-01-25,42.2
2022-01-26,26.2
2022-01-27,27.4
2022-01-28,39.6
2022-01-29,24.1
2022-01-30,26.8
2022-01-31,41.6
2022-02-01,27.1
2022-02-02,36.5
2022-02-03,33.5
2022-02-04,29.3
2022-02-05,47.3
2022-02-06,42.3
2022-02-07,55.6
2022-02-08,71.1
2022-02-09,41.8
2022-02-10,59.8
2022-02-11,66.1
2022-02-12,43.0
2022-02-13,38.0
2022-02-14,40.2
2022-02-15,46.0
2022-02-16,52.9
2022-02-17,51.6
2022-02-18,88.7
2022-02-19,60.5
2022-02-20,75.9
2022-02-21,43.8
2022-02-22,74.0
2022-02-23,104.2
2022-02-24,60.9
2022-02-25,82.6
2022-02-26,146.9
2022-02-27,151.3
2022-02-28,152.9
2022-03-01,97.2
2022-03-02,163.7
2022-03-03,177.9
2022-03-04,171.7
2022-03-05,156.0
2022-03-06,183.7
2022-03-07,203.7
2022-03-08,155.2
2022-03-09,191.7
2022-03-10,130.3
2022-03-11,214.7
2022-03-12,227.3
2022-03-13,223.5
2022-03-14,217.9
2022-03-15,192.0
2022-03-16,265.5
2022-03-17,135.9
2022-03-18,214.8
2022-03-19,280.3
2022-03-20,294.4
2022-03-21,304.8
2022-03-22,287.6
2022-03-23,318.0
2022-03-24,335.5
2022-03-25,247.9
2022-03-26,292.6
2022-03-27,188.7
2022-03-28,282.8
2022-03-29,213.1
2022-03-30,366.6
2022-03-31,389.1
2022-04-01,305.9
2022-04-02,344.7
2022-04-03,271.7
2022-04-04,189.1
2022-04-05,278.5
2022-04-06,217.3
2022-04-07,189.9
2022-04-08,196.1
2022-04-09,306.6
2022-04-10,226.9
2022-04-11,418.0
2022-04-12,356.6
2022-04-13,227.3
2022-04-14,248.7
2022-04-15,398.8
2022-04-16,478.5
2022-04-17,535.8
2022-04-18,534.1
2022-04-19,552.6
2022-04-20,566.6
2022-04-21,598.8
2022-04-22,696.0
2022-04-23,553.0
2022-04-24,541.3
2022-04-25,652.4
2022-04-26,351.6
2022-04-27,414.6
2022-04-28,337.2
2022-04-29,359.7
2022-04-30,512.6
2022-05-01,547.3
2022-05-02,614.4
2022-05-03,785.6
2022-05-04,432.3
2022-05-05,574.1
2022-05-06,749.7
2022-05-07,481.0
2022-05-08,596.6
2022-05-09,791.0
2022-05-10,445.8
2022-05-11,410.1
2022-05-12,558.6
2022-05-13,446.9
2022-05-14,504.4
2022-05-15,933.0
2022-05-16,752.3
2022-05-17,895.3
2022-05-18,729.6
2022-05-19,450.7
2022-05-20,437.0
2022-05-21,393.9
2022-05-22,482.6
2022-05-23,547.5
2022-05-24,588.3
2022-05-25,549.1
2022-05-26,520.5
2022-05-27,595.4
2022-05-28,486.1
2022-05-29,865.6
2022-05-30,579.8
2022-05-31,510.8
2022-06-01,575.2
2022-06-02,580.2
2022-06-03,570.2
2022-06-04,941.1
2022-06-05,1133.2
2022-06-06,630.0
2022-06-07,518.5
2022-06-08,622.1
2022-06-09,799.6
2022-06-10,649.3
2022-06-11,925.2
2022-06-12,773.1
2022-06-13,808.9
2022-06-14,726.4
2022-06-15,940.0
2022-06-16,1002.6
2022-06-17,928.4
2022-06-18,1024.7
2022-06-19,600.5
2022-06-20,905.6
2022-06-21,1225.9
2022-06-22,652.2
2022-06-23,973.2
2022-06-24,1293.1
2022-06-25,1100.9
2022-06-26,1036.5
2022-06-27,1042.9
2022-06-28,714.8
2022-06-29,1252.1
2022-06-30,1248.3
