Datum,Lufttemperatur,Kvalitet
2022-01-01,-1.0,Y
2022-01-02,2.1,Y
2022-01-03,4.2,Y
2022-01-04,1.1,Y
2022-01-05,-1.9,Y
2022-01-06,-6.7,Y
2022-01-07,-7.1,Y
2022-01-08,-0.2,Y
2022-01-09,-0.3,Y
2022-01-10,-1.6,Y
2022-01-11,-0.8,Y
2022-01-12,2.1,Y
2022-01-13,6.8,Y
2022-01-14,3.8,Y
2022-01-15,-0.3,Y
2022-01-16,2.8,Y
2022-01-17,1.0,Y
2022-01-18,0.5,Y
2022-01-19,4.4,Y
2022-01-20,-1.8,Y
2022-01-21,-2.9,Y
2022-01-22,-4.2,Y
2022-01-23,-0.6,Y
2022-01-24,3.7,Y
2022-01-25,-2.0,Y
2022-01-26,1.4,Y
2022-01-27,2.3,Y
2022-01-28,0.7,Y
2022-01-29,2.9,Y
2022-01-30,-0.2,Y
2022-01-31,-2.7,Y
2022-02-01,-5.3,Y
2022-02-02,-5.8,Y
2022-02-03,-3.8,Y
2022-02-04,2.6,Y
2022-02-05,1.3,Y
2022-02-06,2.3,Y
2022-02-07,-0.4,Y
2022-02-08,1.6,Y
2022-02-09,3.2,Y
2022-02-10,3.2,Y
2022-02-11,-1.1,Y
2022-02-12,1.9,Y
2022-02-13,3.0,Y
2022-02-14,2.6,Y
2022-02-15,4.2,Y
2022-02-16,2.6,Y
2022-02-17,0.8,Y
2022-02-18,0.3,Y
2022-02-19,-0.6,Y
2022-02-20,-1.8,Y
2022-02-21,0.1,Y
2022-02-22,-5.0,Y
2022-02-23,-1.8,Y
2022-02-24,3.5,Y
2022-02-25,1.8,Y
2022-02-26,-0.7,Y
2022-02-27,3.0,Y
2022-02-28,0.7,Y
2022-03-01,2.9,Y
2022-03-02,1.9,Y
2022-03-03,1.7,Y
2022-03-04,-1.2,Y
2022-03-05,-0.5,Y
2022-03-06,1.8,Y
2022-03-07,2.6,Y
2022-03-08,1.5,Y
2022-03-09,1.2,Y
2022-03-10,1.8,Y
2022-03-11,1.5,Y
2022-03-12,1.4,Y
2022-03-13,2.3,Y
2022-03-14,3.0,Y
2022-03-15,2.6,Y
2022-03-16,1.8,Y
2022-03-17,2.4,Y
2022-03-18,5.7,Y
2022-03-19,4.8,Y
2022-03-20,5.9,Y
2022-03-21,5.3,Y
2022-03-22,4.7,Y
2022-03-23,5.7,Y
2022-03-24,7.4,Y
2022-03-25,8.4,Y
2022-03-26,4.9,Y
2022-03-27,4.3,Y
2022-03-28,8.5,Y
2022-03-29,-1.3,Y
2022-03-30,-1.4,Y
2022-03-31,-0.7,Y
2022-04-01,-1.3,Y
2022-04-02,-1.3,Y
2022-04-03,2.4,Y
2022-04-04,1.8,Y
2022-04-05,-1.4,Y
2022-04-06,1.9,Y
2022-04-07,1.0,Y
2022-04-08,0.7,Y
2022-04-09,0.4,Y
2022-04-10,4.8,Y
2022-04-11,5.5,Y
2022-04-12,5.0,Y
2022-04-13,5.4,Y
2022-04-14,4.6,Y
2022-04-15,5.5,Y
2022-04-16,5.5,Y
2022-04-17,9.7,Y
2022-04-18,10.9,Y
2022-04-19,9.7,Y
2022-04-20,8.9,Y
2022-04-21,10.9,Y
2022-04-22,9.5,Y
2022-04-23,7.3,Y
2022-04-24,6.0,Y
2022-04-25,7.9,Y
2022-04-26,7.0,Y
2022-04-27,4.0,Y
2022-04-28,6.8,Y
2022-04-29,5.0,Y
2022-04-30,7.4,Y
2022-05-01,9.1,Y
2022-05-02,10.8,Y
2022-05-03,7.6,Y
2022-05-04,6.6,Y
2022-05-05,12.2,Y
2022-05-06,12.8,Y
2022-05-07,9.1,Y
2022-05-08,7.9,Y
2022-05-09,10.1,Y
2022-05-10,11.3,Y
2022-05-11,11.7,Y
2022-05-12,12.0,Y
2022-05-13,11.8,Y
2022-05-14,11.6,Y
2022-05-15,10.6,Y
2022-05-16,8.9,Y
2022-05-17,8.0,Y
2022-05-18,13.3,Y
2022-05-19,16.3,Y
2022-05-20,11.0,Y
2022-05-21,10.5,Y
2022-05-22,10.4,Y
2022-05-23,11.6,Y
2022-05-24,12.8,Y
2022-05-25,14.4,Y
2022-05-26,11.8,Y
2022-05-27,11.0,Y
2022-05-28,9.8,Y
2022-05-29,10.8,Y
2022-05-30,10.9,Y
2022-05-31,10.9,Y
2022-06-01,13.7,Y
2022-06-02,11.1,Y
2022-06-03,13.8,Y
2022-06-04,15.9,Y
2022-06-05,16.3,Y
2022-06-06,14.2,Y
2022-06-07,14.5,Y
2022-06-08,16.5,Y
2022-06-09,17.2,Y
2022-06-10,17.5,Y
2022-06-11,16.9,Y
2022-06-12,15.6,Y
2022-06-13,15.2,Y
2022-06-14,15.9,Y
2022-06-15,16.1,Y
2022-06-16,17.1,Y
