Datum,Nederbördsmängd,Kvalitet
2022-01-01,5.3,G
2022-01-02,0.0,G
2022-01-03,2.9,G
2022-01-04,1.9,G
2022-01-05,1.0,G
2022-01-06,0.0,G
2022-01-07,5.9,G
2022-01-08,1.2,G
2022-01-09,0.0,G
2022-01-10,0.0,G
2022-01-11,1.3,G
2022-01-12,0.0,G
2022-01-13,2.3,G
2022-01-14,0.0,G
2022-01-15,0.0,G
2022-01-16,0.0,G
2022-01-17,0.0,G
2022-01-18,0.0,G
2022-01-19,9.5,G
2022-01-20,0.0,G
2022-01-21,0.0,G
2022-01-22,0.0,G
2022-01-23,0.0,G
2022-01-24,0.0,G
2022-01-25,0.0,G
2022-01-26,0.0,G
2022-01-27,2.3,G
2022-01-28,0.2,G
2022-01-29,20.5,G
2022-01-30,1.2,G
2022-01-31,0.0,G
2022-02-01,0.3,G
2022-02-02,0.2,G
2022-02-03,0.9,G
2022-02-04,3.0,G
2022-02-05,0.5,G
2022-02-06,0.0,G
2022-02-07,0.3,G
2022-02-08,0.6,G
2022-02-09,0.0,G
2022-02-10,0.0,G
2022-02-11,0.0,G
2022-02-12,1.0,G
2022-02-13,2.1,G
2022-02-14,7.8,G
2022-02-15,0.7,G
2022-02-16,4.2,G
2022-02-17,0.2,G
2022-02-18,0.0,G
2022-02-19,0.0,G
2022-02-20,1.0,G
2022-02-21,15.0,Y
2022-02-22,1.9,G
2022-02-23,0.2,G
2022-02-24,0.0,G
2022-02-25,0.0,G
2022-02-26,0.0,G
2022-02-27,0.0,G
2022-02-28,0.0,G
2022-03-01,0.3,G
2022-03-02,0.0,G
2022-03-03,0.0,G
2022-03-04,0.0,G
2022-03-05,0.0,G
2022-03-06,0.0,G
2022-03-07,0.0,G
2022-03-08,0.0,G
2022-03-09,0.0,G
2022-03-10,0.0,G
2022-03-11,0.0,G
2022-03-12,0.0,G
2022-03-13,0.0,G
2022-03-14,0.0,G
2022-03-15,0.0,G
2022-03-16,0.0,G
2022-03-17,0.1,G
2022-03-18,0.0,G
2022-03-19,0.0,G
2022-03-20,0.0,G
2022-03-21,0.0,G
2022-03-22,0.0,G
2022-03-23,0.0,G
2022-03-24,0.0,G
2022-03-25,0.0,G
2022-03-26,0.0,G
2022-03-27,0.0,G
2022-03-28,0.3,G
2022-03-29,0.2,G
2022-03-30,0.0,G
2022-03-31,0.0,G
2022-04-01,1.6,G
2022-04-02,0.0,G
2022-04-03,0.7,G
2022-04-04,9.1,G
2022-04-05,1.0,G
2022-04-06,0.0,G
2022-04-07,9.9,G
2022-04-08,8.9,G
2022-04-09,1.7,G
2022-04-10,0.0,G
2022-04-11,0.0,G
2022-04-12,0.0,G
2022-04-13,0.1,G
2022-04-14,0.0,G
2022-04-15,0.0,G
2022-04-16,0.1,G
2022-04-17,0.0,G
2022-04-18,0.0,G
2022-04-19,0.0,G
2022-04-20,0.0,G
2022-04-21,0.0,Y
2022-04-22,0.0,G
2022-04-23,0.0,G
2022-04-24,0.0,G
2022-04-25,0.0,G
2022-04-26,0.0,G
2022-04-27,0.0,G
2022-04-28,0.0,G
2022-04-29,0.0,G
2022-04-30,0.0,G
2022-05-01,0.0,G
2022-05-02,0.0,G
2022-05-03,0.0,G
2022-05-04,0.0,G
2022-05-05,0.0,G
2022-05-06,0.8,G
2022-05-07,1.5,G
2022-05-08,0.0,G
2022-05-09,0.0,G
2022-05-10,4.2,G
2022-05-11,3.0,G
2022-05-12,1.0,G
2022-05-13,0.0,G
2022-05-14,0.9,G
2022-05-15,0.0,G
2022-05-16,0.0,G
2022-05-17,0.0,G
2022-05-18,0.0,G
2022-05-19,0.7,G
2022-05-20,0.0,G
2022-05-21,0.0,G
2022-05-22,0.0,G
2022-05-23,0.0,G
2022-05-24,0.3,G
2022-05-25,0.0,G
2022-05-26,0.1,G
2022-05-27,12.2,G
2022-05-28,4.1,G
2022-05-29,0.0,G
2022-05-30,0.0,G
2022-05-31,1.4,G
2022-06-01,8.5,G
2022-06-02,9.3,G
2022-06-03,5.9,G
2022-06-04,0.0,G
2022-06-05,0.0,G
2022-06-06,0.0,G
2022-06-07,2.3,G
2022-06-08,0.0,G
2022-06-09,0.0,G
2022-06-10,5.2,G
2022-06-11,0.0,G
2022-06-12,0.0,G
2022-06-13,0.2,G
2022-06-14,0.0,G
2022-06-15,4.4,G
2022-06-16,4.3,G
2022-06-17,8.5,G
2022-06-18,0.0,G
2022-06-19,0.2,G
2022-06-20,0.0,G
2022-06-21,2.2,G
2022-06-22,0.0,G
2022-06-23,0.0,G
2022-06-24,0.0,G
2022-06-25,0.0,G
2022-06-26,0.0,G
2022-06-27,0.0,G
2022-06-28,1.6,G
2022-06-29,0.4,G
2022-06-30,7.2,G
2022-07-01,5.3,G
2022-07-02,0.0,G
2022-07-03,0.0,G
2022-07-04,3.9,G
2022-07-05,1.1,G
2022-07-06,5.3,G
2022-07-07,2.3,G
2022-07-08,0.0,G
2022-07-09,0.2,G
2022-07-10,0.3,G
2022-07-11,0.0,G
2022-07-12,0.0,G
2022-07-13,0.8,G
2022-07-14,1.3,G
2022-07-15,1.3,G
2022-07-16,0.0,G
2022-07-17,0.0,G
2022-07-18,0.2,G
2022-07-19,0.0,G
2022-07-20,0.0,G
2022-07-21,0.0,G
2022-07-22,1.6,G
2022-07-23,0.0,G
2022-07-24,0.0,G
2022-07-25,10.1,G
2022-07-26,1.9,G
2022-07-27,0.0,G
2022-07-28,0.0,G
2022-07-29,0.0,G
2022-07-30,0.0,G
2022-07-31,0.0,G
2022-08-01,0.1,G
2022-08-02,0.3,G
2022-08-03,1.1,G
2022-08-04,2.9,G
2022-08-05,21.4,G
