Datum,Tid (UTC),Snödjup,Kvalitet
2022-01-31,06:00:00,0.02,G
2022-02-15,06:00:00,0.06,G
2022-02-28,06:00:00,0.07,G
2022-03-15,06:00:00,0.0,G
2022-03-31,06:00:00,0.0,G
2022-07-31,06:00:00,0.0,Y
2022-08-09,06:00:00,0.0,Y
2022-09-03,06:00:00,0.0,G
2022-09-29,06:00:00,0.0,G
2022-09-30,06:00:00,0.0,G
2022-10-27,06:00:00,0.0,G
2022-11-05,06:00:00,0.0,G
2022-11-15,06:00:00,0.0,G
2022-11-28,06:00:00,0.0,G
2022-12-05,06:00:00,0.0,G
2022-12-15,06:00:00,0.05,G
2023-01-13,06:00:00,0.01,G
2023-01-15,06:00:00,0.15,G
2023-01-23,06:00:00,0.0,G
2023-01-31,06:00:00,0.0,G
2023-02-15,06:00:00,0.0,G
2023-04-15,06:00:00,0.0,G
2023-06-24,06:00:00,0.0,G
2023-07-05,06:00:00,0.0,G
2023-07-13,06:00:00,0.0,G
2023-09-01,06:00:00,0.0,Y
2023-09-02,06:00:00,0.0,G
2023-09-03,06:00:00,0.0,G
2023-09-04,06:00:00,0.0,G
2023-09-05,06:00:00,0.0,G
2023-09-06,06:00:00,0.0,G
2023-09-07,06:00:00,0.0,G
2023-09-08,06:00:00,0.0,G
2023-09-09,06:00:00,0.0,G
2023-09-10,06:00:00,0.0,G
2023-09-11,06:00:00,0.0,G
2023-09-12,06:00:00,0.0,G
2023-09-13,06:00:00,0.0,G
2023-09-14,06:00:00,0.0,G
2023-09-15,06:00:00,0.0,G
2023-09-16,06:00:00,0.0,G
2023-09-17,06:00:00,0.0,G
2023-09-18,06:00:00,0.0,G
2023-09-19,06:00:00,0.0,G
2023-09-20,06:00:00,0.0,G
2023-09-21,06:00:00,0.0,G
2023-09-22,06:00:00,0.0,G
2023-09-23,06:00:00,0.0,G
2023-09-24,06:00:00,0.0,G
2023-09-25,06:00:00,0.0,G
2023-09-26,06:00:00,0.0,G
2023-09-27,06:00:00,0.0,G
2023-09-28,06:00:00,0.0,G
2023-09-29,06:00:00,0.0,G
2023-09-30,06:00:00,0.0,G
2023-10-01,06:00:00,0.0,G
2023-10-02,06:00:00,0.0,G
2023-10-03,06:00:00,0.0,G
2023-10-04,06:00:00,0.0,G
2023-10-05,06:00:00,0.0,G
2023-10-06,06:00:00,0.0,G
2023-10-07,06:00:00,0.0,G
2023-10-08,06:00:00,0.0,G
2023-10-09,06:00:00,0.0,G
2023-10-10,06:00:00,0.0,G
2023-10-11,06:00:00,0.0,G
2023-10-12,06:00:00,0.0,G
2023-10-13,06:00:00,0.0,G
2023-10-14,06:00:00,0.0,G
2023-10-15,06:00:00,0.0,G
2023-10-16,06:00:00,0.0,G
2023-10-17,06:00:00,0.0,G
2023-10-18,06:00:00,0.0,G
2023-10-19,06:00:00,0.0,G
2023-10-20,06:00:00,0.0,G
2023-10-21,06:00:00,0.0,G
2023-10-22,06:00:00,0.0,G
2023-10-23,06:00:00,0.0,G
2023-10-24,06:00:00,0.0,G
2023-10-25,06:00:00,0.0,G
2023-10-26,06:00:00,0.0,G
2023-10-27,06:00:00,0.0,G
2023-10-28,06:00:00,0.0,G
2023-10-29,06:00:00,0.0,G
2023-10-30,06:00:00,0.02,G
2023-10-31,06:00:00,0.2,G
2023-11-01,06:00:00,0.15,G
